conversation_id,classification
1794413021366022258,False
1794459267916845428,False
1794472004248350774,True
1794699160593018934,False
1794702463058239514,False
1794711604040503634,False
1794734261926277166,False
1794738252475482447,True
1794750284276879577,False
1794809821113229721,False
1794810207589077177,False
1794813269208625520,False
1795105537211969614,True
1795110359625294011,False
1795237071562375641,False
1795251136498176237,False
1795458952559300997,False
1795461303563112576,True
1795467380560138747,True
1795476813772136884,True
1795491896351166952,True
1795494841511780709,False
1795539450057093526,True
1795545686924050874,False
1795546180773929100,False
1795567375150108862,True
1795616198622597155,True
1795729318703686054,False
1795788387850268838,True
1795791154576818677,False
1795807962276995261,True
1795811848958153010,True
1795843552066285654,True
1795852639575409136,True
1795942992542670853,True
1795971080919671146,True
1796061492468433374,True
1796129436686794925,False
